,brand,category_code,product_code,price,event_type,shopping_time,coupon
19008984,samsung,electronics,smartphone,229.99,view,3,No
6347546,apple,electronics,tablet,360.09,view,2,Yes
22820249,samsung,appliances,vacuum,64.02,view,14,Yes
24996949,respect,apparel,shoes,71.82,view,4,Yes
7227918,samsung,electronics,tv,1801.57,view,15,Yes
19956512,philips,electronics,tv,656.36,view,14,No
34900012,samsung,electronics,smartphone,367.31,view,4,Yes
16176015,apple,electronics,smartphone,696.13,view,7,No
13119580,apple,electronics,smartphone,746.17,view,6,Yes
2696633,apple,electronics,smartphone,815.14,view,7,No
4551474,elenberg,electronics,tv,154.42,view,15,No
18129542,xiaomi,electronics,smartphone,191.77,view,11,No
2840866,xiaomi,auto,videoregister,50.45,view,9,No
18145173,samsung,electronics,smartphone,250.82,view,11,Yes
4713023,xiaomi,electronics,smartphone,468.48,view,16,Yes
4458498,samsung,electronics,smartphone,746.48,view,14,No
447565,artel,electronics,tv,150.7,view,9,No
3755036,crown,computers,notebook,32.91,view,5,No
16790655,panasonic,electronics,headphone,9.65,view,13,Yes
18872302,pioneer,auto,player,120.98,view,21,No
38335495,xiaomi,electronics,smartphone,173.46,view,15,No
37974196,samsung,electronics,smartphone,243.75,view,9,Yes
13126825,samsung,electronics,smartphone,250.91,view,6,No
20655705,haier,electronics,tv,180.16,view,5,No
38359355,indesit,appliances,washer,205.67,view,15,Yes
23024380,adidas,apparel,keds,75.16,view,16,No
6036847,pioneer,auto,player,123.56,view,16,Yes
85044,acer,computers,notebook,772.19,view,4,Yes
29688550,karcher,appliances,vacuum,109.4,view,8,No
39476619,xiaomi,electronics,smartphone,196.91,view,13,Yes
5700521,elenberg,appliances,microwave,51.46,view,12,No
36235837,indesit,appliances,refrigerators,378.9,view,4,Yes
27920672,xiaomi,electronics,smartphone,409.53,view,3,Yes
6089596,xiaomi,electronics,tv,460.76,view,17,Yes
4103465,lg,computers,monitor,295.76,view,9,Yes
39245763,hp,computers,printer,136.17,view,10,Yes
36152453,stihl,construction,saw,185.08,view,2,No
6895648,hansa,appliances,microwave,128.68,view,10,Yes
16625902,karcher,construction,generator,690.96,view,11,Yes
10955918,epson,stationery,cartrige,4.86,view,12,Yes
678240,samsung,electronics,smartphone,130.73,view,13,No
35461332,apple,electronics,clocks,573.95,view,12,No
16117070,apple,electronics,smartphone,1135.25,view,6,Yes
39277065,samsung,electronics,clocks,291.92,view,10,No
35007947,apple,electronics,smartphone,458.96,view,5,Yes
38102458,huawei,electronics,smartphone,152.18,view,11,Yes
40720441,horizont,appliances,microwave,70.35,view,14,Yes
35801803,artel,electronics,tv,282.76,view,16,Yes
21404604,xiaomi,electronics,smartphone,257.15,view,14,Yes
26738704,fender,electronics,acoustic,396.66,view,7,No
19919984,hp,computers,notebook,262.3,view,14,Yes
21636915,samsung,electronics,smartphone,250.69,view,16,Yes
33021031,polaris,appliances,kettle,15.42,view,16,Yes
33438154,xiaomi,electronics,clocks,245.56,view,3,No
34979641,samsung,electronics,smartphone,245.28,view,5,Yes
14754817,samsung,electronics,smartphone,730.52,view,7,No
14891794,redmond,appliances,blender,59.18,view,9,Yes
39183719,samsung,electronics,smartphone,170.15,view,9,Yes
30123555,apple,electronics,smartphone,740.79,view,14,No
25666798,apple,electronics,smartphone,1003.6,view,13,No
